x,y,cluster
-3.253596,-5.235137,25.000000
-4.699537,-5.549751,70.000000
-3.031583,-5.165854,65.000000
-4.814387,-6.089491,50.000000
-5.229063,-6.995706,47.000000
-4.010698,-5.979836,53.000000
-3.756412,-6.018400,53.000000
-5.209536,-7.084044,5.000000
-4.769681,-6.254683,85.000000
-4.678634,-5.997933,50.000000
-4.449847,-5.982913,68.000000
-3.909592,-6.101626,53.000000
-5.774047,-6.614502,23.000000
-3.961358,-6.292180,82.000000
-3.860802,-5.314463,74.000000
-4.377599,-5.884770,73.000000
-5.532160,-6.748735,90.000000
-5.577669,-6.581468,35.000000
-5.112520,-6.352536,63.000000
-5.695972,-6.299639,32.000000
-4.387069,-5.892839,13.000000
-3.916007,-6.193954,53.000000
-4.365034,-5.804551,36.000000
-5.371055,-6.995774,47.000000
-5.621346,-6.776190,2.000000
-5.734416,-6.611315,42.000000
-3.867719,-5.363557,74.000000
-4.256525,-5.545330,88.000000
-4.948000,-5.391631,83.000000
-4.104884,-5.558043,14.000000
-5.217425,-6.534976,79.000000
-4.231774,-5.686364,93.000000
-4.148436,-5.696891,93.000000
-5.377291,-6.646898,90.000000
-5.472785,-7.082447,57.000000
-4.635695,-5.572745,61.000000
-4.221825,-5.666758,14.000000
-3.926199,-6.153706,53.000000
-3.977673,-6.165718,53.000000
-3.952884,-6.113631,53.000000
-4.368710,-5.793680,73.000000
-3.946650,-6.073047,51.000000
-5.492804,-6.582919,35.000000
-4.069512,-5.782571,6.000000
-4.809583,-6.571777,64.000000
-5.810458,-6.903396,72.000000
-5.464272,-6.491830,24.000000
-4.144671,-5.600397,33.000000
-5.777851,-6.823011,23.000000
-4.164312,-5.582793,33.000000
-5.421274,-7.160945,57.000000
-4.148463,-5.436832,75.000000
-5.365479,-7.017413,57.000000
-4.664344,-6.594522,81.000000
-5.664745,-5.779752,59.000000
-5.855409,-6.865068,72.000000
-5.479791,-6.594430,98.000000
-3.788261,-6.072716,53.000000
-5.257271,-6.287637,20.000000
-5.491687,-6.638478,35.000000
-4.380150,-5.876306,56.000000
-5.161266,-5.624604,62.000000
-3.859159,-6.066498,53.000000
-3.661140,-5.271687,54.000000
-5.373418,-6.993338,47.000000
-3.845010,-6.238458,82.000000
-5.108551,-6.613125,91.000000
-5.597050,-6.994612,92.000000
-2.951915,-5.111201,65.000000
-5.469118,-6.568885,35.000000
-5.646055,-6.208822,32.000000
-5.524221,-7.269853,57.000000
-4.127850,-5.721829,86.000000
-5.844790,-6.753389,72.000000
-4.349133,-5.681443,73.000000
-5.198172,-6.560941,79.000000
-3.844707,-6.069973,53.000000
-5.493371,-7.207791,57.000000
-5.654392,-6.603432,35.000000
-4.348864,-5.847075,68.000000
-5.774178,-6.604036,42.000000
-4.008442,-5.989160,51.000000
-4.078531,-5.958984,51.000000
-4.708045,-6.281654,77.000000
-5.280267,-6.855634,9.000000
-5.283487,-6.846232,9.000000
-5.682395,-5.907955,40.000000
-4.566261,-5.526257,17.000000
-4.787188,-6.526879,30.000000
-4.284092,-6.002838,41.000000
-5.520763,-7.184375,57.000000
-5.132809,-6.413925,79.000000
-3.794242,-6.083827,53.000000
-4.255064,-5.807357,39.000000
-5.521988,-7.220551,57.000000
-4.698184,-5.723597,22.000000
-5.619557,-6.198538,32.000000
-4.641881,-5.457926,61.000000
-4.323995,-5.996876,41.000000
-3.824313,-6.170263,53.000000
-4.949024,-5.483295,83.000000
-3.848544,-6.121779,53.000000
-2.583467,-5.127546,18.000000
-5.384142,-6.474248,94.000000
-5.780810,-6.625896,42.000000
-5.590342,-7.236123,57.000000
-5.309604,-6.686369,78.000000
-5.511308,-7.012828,47.000000
-4.075134,-5.396645,38.000000
-5.549376,-6.510539,35.000000
-5.416619,-6.708532,78.000000
-4.603347,-5.483778,97.000000
-4.367872,-5.911255,13.000000
-4.842797,-6.635928,64.000000
-3.980726,-5.708825,12.000000
-4.024416,-5.924444,55.000000
-5.322617,-6.421045,20.000000
-3.692161,-6.208177,87.000000
-3.851518,-6.145957,82.000000
-4.420927,-5.859099,13.000000
-4.335138,-5.505933,38.000000
-4.731799,-5.973754,50.000000
-5.635221,-5.808806,59.000000
