matched_query,Unnamed: 0,hash,failure_invariant
block.timestamp > deadline,17471,0x92c4464ef0ee9ee50f18adac99a991ffd6c1f34814540a54219a8567e92210c9,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,18072,0xe3845b39c2f6d9d8bb87c41ea045f26989ef24cebe3c1098af047d97c5aaddd0,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,18265,0xb7911eb8ebeea709404bf751a1d52085e8f9ae7c4641afae9e8101d2ba8657a3,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,18475,0x87811647ae609901eb2da54dc673eaf1fb4183ebd4638e3a112bbaedea430bbd,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,18496,0xe07a09351f8410f4ab29a27df663dfaaeedd4c67a6aeaaa7d712057228a226bc,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,18525,0x66f87a718c51047db96808bb174db64160b68976ff829dceeca5ecc84646c1f3,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,18533,0x0d42c50a56e4e27c7f5cfd698f73adf3c310d611f1a91a7048c6b168ba600fa0,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,18636,0x0f4e4edf5d66f7a74d66bc52d5d0537d1a7d754054ada350294ec3178ddbb59c,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,18653,0x4bb6d26ee93468ad3120714873c3c363baf620466ed3efb11b085863a699141c,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,18966,0xb56d6d53a6981f5c4924de84066ef4b1ef2c0d95533de878381a0013ae7ae341,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,19027,0xfe48cb173c936e2005f53c9d5f966a6e5167dad4cd6c49883ed02bcea30f8d20,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,19301,0x73a5a089f963dd83d6308fb3fc297519236547621cbfc6f306c75ad5b50e2a49,if (block.timestamp > deadline) { revert DeadlineExpired();
block.timestamp > deadline,19335,0x1c7ec984a1664f92f88866c043fa44668356a4cef815f604fbb1e99a3e7b8f45,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,19940,0x6ca0c2fa50c8f465b1fd5303bee6da006a9920444442aefe73c598e3b3bcbb25,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
