cluster,patch,invariant
57,383,roundstatus[_round] == true
21,384,!address.iscontract(_to) || !address.iscontract(_from)
57,385,!minted[msg.sender]
57,386,stakeidparam == stref.stakeid
57,387,uint256(proposal.status) <= 1
60,388,amount + balanceofto <= _txlimits.walletlimit
71,389,shapeshifters[_state].active < shapeshifters[_state].max
91,390,"ecdsa.recover( messagehashutils.toethsignedmessagehash( keccak256(abi.encodepacked(msg.sender, action)) ), signature ) == signer"
57,391,key.token0 < key.token1
24,392,_isexcludedfromtax[from] || _isexcludedfromtax[to]
57,393,!isconfirmed[_txindex][msg.sender]
57,394,!claimed[msg.sender]
57,395,numminted[msg.sender] < 10
24,396,_excludedfees[from] || _excludedfees[to]
57,397,volume <= cap
24,398,_excludedfromfees[from] || _excludedfromfees[to]
57,399,!_paused
57,400,balance >= amount
60,401,balanceof(to) + amount <= maxwalletamount
30,402,block.timestamp > lockedbalances[msg.sender].unlocktime
57,403,unlockedbalanceof(_msgsender()) >= amount
57,404,_checktradingenabled(msg.sender)
66,405,keccak256(currentnode.encoded) == currentnodeid
57,406,stakes[_staker][_stakeid].isactive
57,407,amount > 0
57,408,haslp
57,409,transfertaxexempt[from] || transfertaxexempt[to]
57,410,reservein > 0 && reserveout > 0
57,411,!frozenaccount[msg.sender]
57,412,!hasminted[msg.sender]
57,413,_claimed < _claim.amount
24,414,_isexcludedfromfee[to] || _isexcludedfromfee[from]
57,415,expiries[tokenid] > now
57,416,sent1 && sent2
39,417,r.hotvars.latestepochandround < epochandround
57,418,tradingenabled
57,419,_blocktimestamp() <= deadline
57,420,stakersinfos[user].tokensstaked >= amount
57,421,msg.value >= _cost
57,422,stakedtokens[tokenid].staker == address(0)
76,423,vars.totokenbalance >= vars.gasfeeamount + _request.totokenminamount
51,424,!blacklists[to] && !blacklists[from]
57,425,tradehasbegun
57,426,launch
57,427,stakeindex < stakelistref.length
57,428,passeddelay()
39,429,hotvars.latestepochandround < epochandround
48,430,secondarybalance >= request.minimumamountexpected
57,431,usermints[_msgsender()].rank == 0
57,432,sellcount < 4
57,433,userinfo.balancestaked > 0
57,434,!paused()
57,435,!_isblacklisted(_account)
78,436,msg.sender == currentowner || approvedhashes[currentowner][datahash] != 0
1,437,provenwithdrawal.timestamp == 0 || l2oracle.getl2output(provenwithdrawal.l2outputindex).outputroot != provenwithdrawal.outputroot
53,438,!paused() || hasexception(_msgsender())
57,439,tradeactivated
57,440,_balances[_msgsender()] >= amount
44,441,proposal._status == proposalstatus.passed
57,442,amountb >= amountbmin
57,443,opentrade
4,444,address(msg.sender).iscontract() && allowedcontracts[msg.sender] || !address(msg.sender).iscontract()
49,445,_mintcounter[msg.sender] < maxpermint
57,446,msg.sender == o.bid.taker
